Order_ID,Customer_ID,Order_Date,Region,Category,Product_Name,Quantity,Unit_Price,Discount,Sales_Amount,Profit,Payment_Method,Customer_Type,Sales_Channel
ORD0064,CUST4241,2024-10-02,West,Furniture,Bed,2,1381.02,0.28,1988.67,412.78,Credit Card,New,Online
ORD0065,CUST5728,2024-08-05,West,Furniture,Table,2,138.08,0.24,209.88,35.47,Credit Card,Returning,Retail
ORD0066,CUST6280,2024-03-18,East,Food,Groceries,9,1089.16,0.13,8528.12,1446.43,Credit Card,New,Online
ORD0067,CUST8245,2024-06-15,East,Sports,Football,5,1160.97,0.23,4469.73,380.1,Debit Card,Returning,Retail
ORD0068,CUST6403,2023-06-14,West,Electronics,Tablet,6,828.53,0.1,4474.06,317.3,Cash,Returning,Retail
ORD0069,CUST9431,2024-02-18,North,Sports,Football,8,194.36,0.08,1430.49,104.69,Net Banking,Returning,Retail
ORD0070,CUST4335,2023-02-22,East,Electronics,Smartphone,9,736.32,0.23,5102.7,893.39,Net Banking,New,Retail
ORD0071,CUST3594,2024-12-27,East,Food,Bakery,2,77.16,0.19,125.0,26.23,Net Banking,New,Retail
ORD0072,CUST5781,2024-05-25,East,Electronics,Smartphone,2,933.67,0.04,1792.65,387.98,Cash,Returning,Retail
ORD0073,CUST2143,2023-05-20,East,Clothing,Shoes,9,306.39,0.06,2592.06,440.33,Cash,Returning,Retail
ORD0074,CUST8316,2023-06-02,West,Electronics,Headphones,5,1678.2,0.17,6964.53,1267.46,UPI,Returning,Retail
ORD0075,CUST1715,2024-02-25,East,Food,Groceries,4,1961.93,0.07,7298.38,923.93,Cash,Returning,Retail
ORD0076,CUST8213,2023-04-13,North,Clothing,Shoes,1,269.97,0.29,191.68,22.31,Net Banking,Returning,Online
ORD0077,CUST7512,2024-09-30,North,Clothing,Shoes,3,168.16,0.23,388.45,40.01,UPI,Returning,Retail
ORD0078,CUST2480,2023-08-21,West,Food,Snacks,10,155.47,0.19,1259.31,294.91,Credit Card,New,Retail
ORD0079,CUST8056,2024-01-19,South,Clothing,Jacket,1,111.06,0.24,84.41,9.17,Debit Card,Returning,Online
ORD0080,CUST3344,2024-05-24,South,Clothing,Jeans,2,1226.79,0.11,2183.69,407.54,Cash,Returning,Retail
ORD0081,CUST6661,2024-03-28,East,Furniture,Chair,8,1804.39,0.2,11548.1,942.27,Cash,Returning,Retail
ORD0082,CUST5847,2024-01-03,East,Furniture,Table,7,1709.6,0.03,11608.18,1465.8,Credit Card,Returning,Retail
ORD0083,CUST6772,2023-08-24,South,Electronics,Laptop,10,1495.44,0.25,11215.8,2586.22,Debit Card,Returning,Online
ORD0084,CUST2476,2023-05-15,East,Electronics,Laptop,5,1581.45,0.01,7828.18,962.65,UPI,Returning,Online
ORD0085,CUST3695,2023-10-07,East,Clothing,Jeans,9,1755.39,0.11,14060.67,2114.15,Cash,Returning,Retail
ORD0086,CUST7511,2024-11-21,East,Electronics,Tablet,2,298.7,0.29,424.15,94.17,Credit Card,Returning,Online
ORD0087,CUST7086,2024-01-26,North,Furniture,Chair,8,749.8,0.22,4678.75,479.26,Debit Card,Returning,Online
ORD0088,CUST5951,2024-12-18,West,Sports,Tennis Racket,10,458.31,0.02,4491.44,964.63,Credit Card,New,Online
ORD0089,CUST8432,2024-02-02,East,Electronics,Headphones,8,249.92,0.07,1859.4,292.87,Net Banking,Returning,Online
ORD0090,CUST7070,2024-12-07,South,Food,Snacks,8,1238.99,0.28,7136.58,756.11,Cash,Returning,Online
ORD0091,CUST5520,2024-02-12,South,Furniture,Chair,6,1098.04,0.29,4677.65,569.43,Credit Card,Returning,Online
ORD0092,CUST4362,2024-08-01,North,Clothing,T-Shirt,1,1577.85,0.07,1467.4,110.33,Net Banking,New,Online
ORD0093,CUST3129,2023-05-29,East,Clothing,Jacket,3,1581.51,0.18,3890.51,410.27,Debit Card,New,Online
ORD0094,CUST5347,2023-06-28,North,Clothing,T-Shirt,6,1584.17,0.07,8839.67,1014.39,Debit Card,Returning,Online
ORD0095,CUST4629,2024-05-30,North,Electronics,Tablet,8,1560.47,0.15,10611.2,762.0,Net Banking,Returning,Retail
ORD0096,CUST8267,2024-12-30,North,Electronics,Laptop,8,1697.65,0.13,11815.64,845.91,Credit Card,Returning,Online
ORD0097,CUST9692,2024-01-26,East,Electronics,Smartphone,5,1256.15,0.18,5150.22,991.06,Cash,Returning,Online
ORD0098,CUST7532,2024-04-09,West,Electronics,Smartphone,7,914.08,0.07,5950.66,700.91,Credit Card,Returning,Retail
ORD0099,CUST2398,2023-04-04,North,Furniture,Sofa,6,1908.11,0.21,9044.44,1310.12,Cash,New,Retail
ORD0100,CUST6793,2024-02-25,West,Clothing,T-Shirt,10,1914.12,0.17,15887.2,2923.29,Credit Card,Returning,Retail
ORD0101,CUST6736,2023-04-21,East,Furniture,Chair,10,1024.68,0.05,9734.46,1425.49,Credit Card,Returning,Online
ORD0102,CUST5477,2023-07-04,East,Food,Snacks,10,1859.59,0.25,13946.92,1443.36,UPI,Returning,Online
ORD0103,CUST2503,2023-02-01,South,Clothing,Jeans,10,1321.54,0.02,12951.09,2566.83,Cash,Returning,Retail
ORD0104,CUST2391,2024-09-02,North,Furniture,Table,6,637.04,0.1,3440.02,819.69,Debit Card,New,Online
ORD0105,CUST4531,2023-10-07,North,Electronics,Headphones,8,1330.64,0.15,9048.35,1252.37,UPI,Returning,Online
ORD0106,CUST1897,2024-09-05,North,Furniture,Bed,9,1340.92,0.01,11947.6,1541.87,Debit Card,Returning,Online
ORD0107,CUST3116,2023-06-29,West,Clothing,Jacket,5,669.68,0.0,3348.4,667.68,Net Banking,New,Retail
ORD0108,CUST8033,2023-11-17,West,Electronics,Tablet,1,883.71,0.14,759.99,49.83,Cash,Returning,Online
ORD0109,CUST6928,2024-12-07,North,Food,Snacks,6,360.31,0.28,1556.54,221.06,Cash,New,Online
ORD0110,CUST6456,2023-08-15,South,Food,Bakery,9,175.72,0.26,1170.3,233.08,Credit Card,New,Online
ORD0111,CUST3504,2024-09-08,North,Furniture,Sofa,3,487.81,0.04,1404.89,125.67,Debit Card,Returning,Retail
ORD0112,CUST6179,2024-10-04,South,Sports,Gym Kit,10,1293.12,0.3,9051.84,1037.72,Cash,New,Retail
ORD0113,CUST8404,2024-04-17,North,Food,Groceries,5,1191.01,0.11,5299.99,343.64,Credit Card,Returning,Retail
ORD0114,CUST8368,2023-02-12,South,Electronics,Laptop,10,1196.28,0.12,10527.26,1748.22,UPI,Returning,Online
ORD0115,CUST9266,2023-03-28,South,Electronics,Tablet,2,1625.71,0.25,2438.57,601.05,Credit Card,New,Retail
ORD0116,CUST1857,2023-12-13,East,Food,Beverages,6,758.25,0.08,4185.54,551.46,Credit Card,Returning,Online
ORD0117,CUST3463,2024-09-09,East,Sports,Gym Kit,5,518.95,0.26,1920.12,466.36,Credit Card,New,Retail
ORD0118,CUST6381,2024-01-21,South,Furniture,Bed,3,1198.18,0.28,2588.07,289.65,Net Banking,New,Retail
ORD0119,CUST4145,2024-05-12,South,Sports,Tennis Racket,1,737.94,0.05,701.04,65.08,Debit Card,New,Online
ORD0120,CUST6517,2023-02-08,South,Furniture,Chair,9,1546.33,0.25,10437.73,2366.61,Net Banking,Returning,Online
ORD0121,CUST6968,2024-02-25,South,Clothing,Jeans,10,1621.91,0.05,15408.15,2119.15,Cash,Returning,Retail
ORD0122,CUST7026,2023-07-18,West,Clothing,Jeans,5,1931.88,0.24,7341.14,1694.3,Cash,Returning,Retail
ORD0123,CUST1854,2023-09-14,West,Sports,Gym Kit,3,1637.44,0.24,3733.36,290.01,UPI,New,Online
ORD0124,CUST2502,2024-03-23,South,Furniture,Chair,3,560.13,0.27,1226.68,97.48,Cash,Returning,Online
ORD0125,CUST4678,2024-01-19,North,Food,Snacks,7,1013.97,0.07,6600.94,1643.01,UPI,New,Retail
ORD0126,CUST8685,2023-05-23,West,Clothing,Jeans,1,588.02,0.25,441.01,83.45,Net Banking,New,Online
ORD0127,CUST7934,2024-06-24,North,Electronics,Headphones,4,1673.23,0.16,5622.05,1098.81,UPI,New,Retail
ORD0128,CUST9189,2023-04-24,North,Electronics,Laptop,4,851.25,0.24,2587.8,365.97,Net Banking,New,Online
ORD0129,CUST2402,2024-11-11,East,Furniture,Bed,1,1237.32,0.07,1150.71,153.41,Credit Card,New,Retail
ORD0130,CUST6649,2023-03-11,South,Food,Snacks,7,1962.46,0.08,12638.24,672.97,Credit Card,Returning,Online
ORD0131,CUST8612,2024-12-02,West,Electronics,Headphones,9,690.32,0.19,5032.43,1087.39,Debit Card,New,Online
ORD0132,CUST6080,2023-11-20,West,Food,Snacks,5,419.15,0.24,1592.77,361.81,Net Banking,Returning,Retail
ORD0133,CUST5476,2023-12-06,North,Electronics,Smartphone,5,726.81,0.23,2798.22,624.45,UPI,Returning,Retail
ORD0134,CUST5369,2024-06-15,North,Food,Bakery,6,1947.97,0.15,9934.65,1485.28,Cash,New,Retail
ORD0135,CUST6021,2023-10-30,West,Sports,Cricket Bat,9,601.66,0.03,5252.49,607.1,Net Banking,Returning,Online
ORD0136,CUST5498,2024-03-21,North,Food,Groceries,8,103.86,0.26,614.85,74.1,Credit Card,Returning,Retail
ORD0137,CUST3068,2023-02-05,North,Sports,Cricket Bat,1,302.7,0.18,248.21,51.2,Debit Card,Returning,Retail
ORD0138,CUST2259,2024-03-30,South,Food,Snacks,10,323.81,0.13,2817.15,349.87,Net Banking,Returning,Retail
ORD0139,CUST7340,2024-06-14,North,Furniture,Sofa,4,1921.83,0.01,7610.45,663.7,UPI,Returning,Retail
ORD0140,CUST8292,2023-06-26,North,Clothing,Jacket,8,416.35,0.04,3197.57,207.24,UPI,Returning,Online
ORD0141,CUST3852,2024-10-15,East,Sports,Tennis Racket,5,1705.7,0.21,6737.52,1586.45,Net Banking,New,Online
ORD0142,CUST8657,2024-01-13,South,Clothing,Jeans,4,1584.94,0.01,6276.36,1009.27,Net Banking,New,Online
ORD0143,CUST3053,2023-03-17,East,Furniture,Bed,8,1060.88,0.23,6535.02,1402.86,Credit Card,Returning,Retail
ORD0144,CUST3114,2023-07-06,West,Sports,Tennis Racket,3,1758.36,0.23,4061.81,722.83,Net Banking,New,Online
ORD0145,CUST9501,2023-12-21,East,Sports,Cricket Bat,5,346.02,0.1,1557.09,298.75,Credit Card,Returning,Online
ORD0146,CUST3762,2024-10-18,South,Sports,Tennis Racket,3,1257.54,0.18,3093.55,212.48,Debit Card,Returning,Online
ORD0147,CUST7825,2023-08-04,North,Electronics,Laptop,1,1898.12,0.23,1461.55,150.44,Cash,Returning,Retail
ORD0148,CUST7809,2024-03-26,West,Food,Beverages,7,608.92,0.02,4177.19,258.91,Cash,New,Retail
ORD0149,CUST7532,2023-12-20,South,Sports,Cricket Bat,6,1725.74,0.1,9319.0,2307.43,UPI,New,Retail
ORD0150,CUST7293,2023-10-25,West,Clothing,Shoes,2,549.59,0.07,1022.24,70.9,Debit Card,New,Retail
ORD0151,CUST6055,2024-05-25,West,Sports,Tennis Racket,4,1530.98,0.15,5205.33,796.13,Credit Card,New,Retail
ORD0152,CUST8710,2024-05-21,East,Sports,Gym Kit,4,445.99,0.11,1587.72,95.43,Net Banking,New,Online
ORD0153,CUST1838,2024-02-15,South,Food,Beverages,5,1460.47,0.23,5622.81,692.66,UPI,Returning,Online
ORD0154,CUST3108,2023-05-02,North,Food,Bakery,9,573.85,0.3,3615.26,672.73,Cash,Returning,Retail
ORD0155,CUST1637,2023-02-16,South,Sports,Tennis Racket,3,414.13,0.15,1056.03,158.42,UPI,Returning,Retail
ORD0156,CUST5902,2024-09-23,East,Clothing,Jeans,6,1864.11,0.1,10066.19,1294.42,Net Banking,Returning,Retail
ORD0157,CUST1436,2023-11-12,West,Food,Snacks,6,675.85,0.03,3933.45,524.36,UPI,New,Online
ORD0158,CUST3421,2024-01-25,South,Sports,Gym Kit,3,1057.98,0.22,2475.67,507.32,Credit Card,New,Online
ORD0159,CUST8726,2024-05-28,North,Electronics,Tablet,6,849.18,0.12,4483.67,407.02,Debit Card,New,Retail
ORD0160,CUST6804,2024-07-13,East,Food,Bakery,6,1914.24,0.14,9877.48,1547.06,Net Banking,Returning,Online
ORD0161,CUST4396,2023-10-23,West,Clothing,Jacket,9,611.03,0.28,3959.47,975.82,UPI,Returning,Retail
ORD0162,CUST6654,2024-02-09,South,Sports,Tennis Racket,5,261.31,0.2,1045.24,131.64,UPI,New,Retail
ORD0163,CUST5442,2024-07-05,East,Electronics,Headphones,8,1318.82,0.22,8229.44,763.67,Debit Card,New,Online
ORD0164,CUST8739,2023-12-05,North,Clothing,T-Shirt,9,466.83,0.07,3907.37,273.67,Debit Card,New,Online
ORD0165,CUST1969,2023-10-20,North,Food,Bakery,8,1308.07,0.23,8057.71,865.79,Net Banking,New,Online
ORD0166,CUST4052,2024-05-22,East,Clothing,Shoes,3,1869.17,0.01,5551.43,1206.0,Credit Card,New,Retail
ORD0167,CUST3198,2024-05-20,West,Sports,Football,6,583.43,0.3,2450.41,388.78,UPI,New,Online
ORD0168,CUST5833,2023-12-12,South,Furniture,Table,8,1303.6,0.22,8134.46,429.64,Debit Card,Returning,Retail
ORD0169,CUST6301,2024-05-03,South,Sports,Tennis Racket,2,813.65,0.03,1578.48,388.84,Credit Card,Returning,Retail
ORD0170,CUST5285,2023-01-12,East,Clothing,Shoes,5,1908.99,0.09,8685.9,1690.07,Debit Card,New,Online
ORD0171,CUST6095,2024-12-21,North,Food,Groceries,3,822.72,0.15,2097.94,480.48,UPI,Returning,Online
ORD0172,CUST9998,2024-03-01,West,Clothing,Jeans,8,323.31,0.22,2017.45,345.28,Net Banking,New,Online
ORD0173,CUST2838,2024-07-31,North,Sports,Football,9,904.56,0.21,6431.42,422.03,Net Banking,New,Online
ORD0174,CUST2489,2024-05-15,West,Clothing,Jacket,9,894.84,0.2,6442.85,1245.94,Credit Card,Returning,Online
ORD0175,CUST1356,2023-11-12,West,Sports,Gym Kit,8,1136.54,0.17,7546.63,1392.76,UPI,New,Online
ORD0176,CUST2130,2023-03-03,West,Sports,Football,1,858.92,0.21,678.55,107.37,Credit Card,Returning,Retail
ORD0177,CUST7154,2024-01-22,North,Clothing,Jeans,7,761.43,0.27,3890.91,543.59,Net Banking,New,Retail
ORD0178,CUST1372,2023-01-04,East,Electronics,Smartphone,9,798.26,0.04,6896.97,1694.9,Cash,Returning,Retail
ORD0179,CUST1527,2023-04-26,West,Clothing,Jeans,8,705.4,0.08,5191.74,1232.95,Net Banking,New,Online
ORD0180,CUST5009,2023-02-19,North,Clothing,T-Shirt,2,1196.01,0.13,2081.06,383.76,Cash,Returning,Online
ORD0181,CUST6224,2024-08-12,East,Sports,Cricket Bat,1,297.47,0.3,208.23,20.16,Debit Card,Returning,Online
ORD0182,CUST7999,2023-06-29,West,Sports,Cricket Bat,7,614.99,0.02,4218.83,1011.27,Credit Card,Returning,Retail
ORD0183,CUST8758,2024-07-04,South,Sports,Tennis Racket,7,828.35,0.09,5276.59,457.88,Debit Card,Returning,Online
ORD0184,CUST4978,2024-02-02,East,Food,Snacks,9,837.1,0.12,6629.83,1034.24,Debit Card,Returning,Online
ORD0185,CUST1647,2024-01-22,North,Food,Groceries,2,1080.56,0.25,1620.84,97.75,Debit Card,New,Retail
ORD0186,CUST8846,2023-05-01,South,Clothing,Jacket,5,1914.9,0.0,9574.5,2273.29,Net Banking,New,Retail
ORD0187,CUST6892,2023-09-25,West,Clothing,Jacket,5,773.71,0.16,3249.58,395.97,Cash,New,Retail
ORD0188,CUST1265,2023-05-30,East,Furniture,Table,6,639.59,0.01,3799.16,846.52,Net Banking,Returning,Retail
ORD0189,CUST6530,2024-07-17,East,Clothing,Jeans,6,475.44,0.17,2367.69,234.75,Cash,Returning,Retail
ORD0190,CUST1962,2024-07-09,North,Clothing,Jacket,3,297.12,0.16,748.74,65.0,Credit Card,New,Online
ORD0191,CUST7114,2024-04-11,North,Food,Beverages,4,154.58,0.05,587.4,55.07,Net Banking,Returning,Retail
ORD0192,CUST9777,2023-10-09,East,Electronics,Laptop,9,1112.25,0.0,10010.25,1560.43,Credit Card,Returning,Online
ORD0193,CUST5379,2023-12-29,West,Electronics,Laptop,9,314.82,0.06,2663.38,413.6,Credit Card,Returning,Retail
ORD0194,CUST1519,2024-10-27,North,Food,Beverages,4,613.95,0.25,1841.85,121.79,Cash,Returning,Retail
ORD0195,CUST6427,2024-03-20,North,Sports,Gym Kit,1,1280.76,0.21,1011.8,67.32,Net Banking,New,Online
ORD0196,CUST1539,2024-07-10,South,Clothing,Shoes,5,112.19,0.02,549.73,129.25,UPI,New,Online
ORD0197,CUST7375,2024-08-03,East,Sports,Cricket Bat,7,1859.17,0.09,11842.91,1927.93,Cash,New,Online
ORD0198,CUST7499,2024-09-11,East,Sports,Tennis Racket,1,213.42,0.07,198.48,12.94,Credit Card,Returning,Retail
ORD0199,CUST7227,2024-08-22,North,Food,Beverages,6,1115.01,0.11,5954.15,518.89,Net Banking,Returning,Online
ORD0200,CUST6188,2024-02-03,East,Electronics,Laptop,5,325.36,0.21,1285.17,227.19,Credit Card,New,Online
ORD0201,CUST8353,2024-03-17,West,Furniture,Bed,6,1527.47,0.03,8889.88,599.71,Credit Card,New,Online
ORD0202,CUST7779,2023-10-26,West,Furniture,Chair,10,1204.13,0.1,10837.17,1376.84,Credit Card,New,Online
ORD0203,CUST8121,2023-06-21,East,Food,Beverages,3,552.46,0.08,1524.79,120.74,Cash,Returning,Retail
ORD0204,CUST4203,2024-09-23,West,Electronics,Headphones,5,1889.56,0.22,7369.28,1099.21,Credit Card,New,Retail
ORD0205,CUST6484,2024-03-26,West,Electronics,Tablet,6,1686.39,0.11,9005.32,2003.14,Net Banking,New,Retail
ORD0206,CUST9044,2023-10-26,South,Furniture,Table,8,642.08,0.29,3647.01,888.94,UPI,Returning,Retail
ORD0207,CUST1440,2023-07-04,West,Food,Groceries,2,1865.49,0.06,3507.12,874.86,Debit Card,Returning,Retail
ORD0208,CUST7932,2023-06-07,West,Electronics,Tablet,8,295.57,0.09,2151.75,216.33,Credit Card,Returning,Retail
ORD0209,CUST1602,2024-07-10,East,Sports,Gym Kit,9,1023.09,0.28,6629.62,1248.63,Net Banking,New,Online
ORD0210,CUST7547,2024-11-24,East,Clothing,Jacket,3,1301.06,0.01,3864.15,953.37,Cash,New,Online
ORD0211,CUST4621,2024-08-12,West,Electronics,Headphones,4,1031.14,0.16,3464.63,575.49,UPI,Returning,Retail
ORD0212,CUST2901,2023-03-29,South,Sports,Cricket Bat,6,1995.45,0.14,10296.52,1123.21,UPI,Returning,Retail
ORD0213,CUST8412,2024-12-14,East,Food,Beverages,9,976.19,0.14,7555.71,1039.92,Credit Card,Returning,Online
ORD0214,CUST9454,2023-09-07,South,Electronics,Laptop,6,1302.98,0.2,6254.3,518.3,Net Banking,New,Retail
ORD0215,CUST8080,2024-10-17,West,Sports,Gym Kit,8,479.07,0.12,3372.65,293.05,Credit Card,New,Retail
ORD0216,CUST2025,2024-12-21,North,Sports,Gym Kit,7,28.81,0.06,189.57,20.03,Net Banking,New,Retail
ORD0217,CUST6134,2024-10-16,West,Furniture,Table,8,245.63,0.2,1572.03,232.5,Net Banking,Returning,Online
ORD0218,CUST2388,2023-11-01,South,Furniture,Sofa,8,1242.38,0.24,7553.67,1444.24,UPI,New,Online
ORD0219,CUST3258,2024-09-02,West,Furniture,Chair,3,759.15,0.04,2186.35,279.18,Cash,New,Retail
ORD0220,CUST1878,2024-04-06,East,Sports,Cricket Bat,9,350.39,0.09,2869.69,250.87,Credit Card,Returning,Online
ORD0221,CUST8272,2024-03-01,West,Clothing,Shoes,9,1020.77,0.15,7808.89,1459.79,Debit Card,New,Online
ORD0222,CUST9115,2024-04-13,North,Clothing,Jacket,1,564.21,0.16,473.94,39.64,Net Banking,New,Retail
